pokemon,usage
Sneasler,0.040689
Mew,0.040654
Nidoking,0.040302
Hippowdon,0.0402062
Latias-Mega,0.0393911
Meowscarada,0.0392262
Iron Crown,0.0392179
Skeledirge,0.0379493
Ogerpon,0.0376868
Aegislash,0.0376745
Gyarados-Mega,0.037656
Ditto,0.0374544
Manaphy,0.0371367
Volcanion,0.0365719
Grimmsnarl,0.0361384
Crawdaunt,0.0359173
Ninetales,0.0338832
Jirachi,0.033319100000000004
Pinsir-Mega,0.0331991
Torkoal,0.032948200000000004
Ursaluna,0.0324558
Clodsire,0.0321393
Togekiss,0.031103299999999997
Slowking,0.0307514
Cloyster,0.0301161
Keldeo,0.029554399999999998
Mimikyu,0.0291336
Gengar,0.0289735
Palafin,0.0289389
Chi-Yu,0.0285059
Incineroar,0.0283785
Mewtwo,0.027780399999999997
Arceus-Ghost,0.027413599999999996
Hoopa-Unbound,0.0272715
Arctozolt,0.0270371
Hydrapple,0.0268244
Zamazenta-Crowned,0.0261476
Lugia,0.0258555
Swampert,0.0257072
Ursaluna-Bloodmoon,0.025573199999999997
Sableye-Mega,0.0255004
Seismitoad,0.025458699999999997
Giratina,0.025243
Tangrowth,0.024656699999999997
Lokix,0.0245913
Gastrodon,0.0237915
Ogerpon-Cornerstone,0.0237879
Hydreigon,0.0236395
Mandibuzz,0.0236083
Espathra,0.0232969
Sinistcha,0.0231398
Venusaur-Mega,0.023119800000000003
Ogerpon-Hearthflame,0.022890999999999998
Amoonguss,0.0226763
Iron Bundle,0.022418900000000002
Araquanid,0.0221931
Thundurus-Therian,0.021644399999999998
Roaring Moon,0.021448900000000003
Moltres-Galar,0.0210948
Zekrom,0.0207836
Alakazam,0.0207168
Gyarados,0.0205428
Suicune,0.020498
Baxcalibur,0.0204304
Latios,0.0202558
Iron Hands,0.0202453
Tinkaton,0.0200208
Venusaur,0.0198167
Azumarill,0.0192058
Conkeldurr,0.0186125
Dracozolt,0.018581399999999998
Kyurem-White,0.0183964
Milotic,0.017881
Shaymin-Sky,0.0170827
Cyclizar,0.0163505
Palkia-Origin,0.0159933
Reuniclus,0.0159083
Lucario,0.0158007
Porygon2,0.015616000000000001
Kingdra,0.0155674
Urshifu,0.0154717
Arceus-Electric,0.015300000000000001
Slither Wing,0.015209299999999999
Goodra-Hisui,0.0149727
Galvantula,0.0149225
Quaquaval,0.0148189
Marowak-Alola,0.014751799999999999
Overqwil,0.0145879
Landorus,0.014389400000000002
Gouging Fire,0.0143705
Goodra,0.014175100000000001
Roserade,0.013927700000000001
Breloom,0.0138594
Lycanroc-Dusk,0.0138351
Spiritomb,0.0137658
Beedrill-Mega,0.0137614
Infernape,0.0136079
Zapdos-Galar,0.0136038
Maushold,0.013556299999999999
Whimsicott,0.013447899999999999
Heracross-Mega,0.013352200000000002
Diggersby,0.0131524
Latias,0.012954799999999999
Muk-Alola,0.0129187
Forretress,0.0127864
Smeargle,0.0123401
Quagsire,0.0120543
Darmanitan,0.0115581
Espeon,0.0111668
Zoroark-Hisui,0.0110476
Arcanine-Hisui,0.0109951
Salamence,0.0109225
Azelf,0.0109222
Polteageist,0.0108634
Garchomp-Mega,0.0108069
Mamoswine,0.0107575
Necrozma-Dawn-Wings,0.0105667
Xurkitree,0.010520400000000001
Dialga,0.010302500000000001
Indeedee,0.010188
Flygon,0.009886899999999999
Spectrier,0.0098798
Arcanine,0.0097784
Manectric-Mega,0.0097692
Gallade-Mega,0.0095617
Snorlax,0.0095044
Sceptile-Mega,0.0093111
Metagross,0.009214
Entei,0.0090842
Porygon-Z,0.0089669
Inteleon,0.0088967
Talonflame,0.008718700000000001
Corsola-Galar,0.0082639
Reshiram,0.008216900000000001
Dialga-Origin,0.008213
Umbreon,0.0081074
Latios-Mega,0.0080384
Raichu-Alola,0.0077101
Thundurus,0.0076556
Arceus-Flying,0.007541
Okidogi,0.0073758
Toxtricity,0.0073696
Lilligant-Hisui,0.0073509000000000005
Shuckle,0.0071469
Heliolisk,0.0071344
Mantine,0.0071316999999999995
Rotom-Heat,0.0071135
Gardevoir,0.0071105
Nihilego,0.0071094999999999995
Iron Boulder,0.0069802
Stakataka,0.0067629
Charizard,0.0067388000000000005
Basculegion,0.0067062
Golurk,0.0065954
Sandy Shocks,0.00658
Armarouge,0.0065769
Palkia,0.0065747
Staraptor,0.0065712
Shedinja,0.0063778
Gardevoir-Mega,0.006316199999999999
Slowbro-Mega,0.0062193
Bronzong,0.006203800000000001
Altaria-Mega,0.0060071
Tentacruel,0.0059707
Comfey,0.005898799999999999
Starmie,0.005832199999999999
Arceus-Dark,0.0057247999999999995
Haxorus,0.005627999999999999
Scolipede,0.005505299999999999
Arceus-Fire,0.0054976
Arceus-Poison,0.0053214
Chandelure,0.005282599999999999
Kleavor,0.0052169
Pawmot,0.0051987000000000005
Solgaleo,0.0051488
Krookodile,0.0051273
Xatu,0.005065699999999999
Arceus-Steel,0.0050513
Chesnaught,0.0049955
Klefki,0.0049837
Sirfetch'd,0.0048798
Sylveon,0.0048548
Uxie,0.0047285
Fezandipiti,0.0046917999999999994
Sableye,0.0046615
Necrozma,0.0046540999999999996
Empoleon,0.0046269
Aggron-Mega,0.0046134
Camerupt-Mega,0.0046076
Gallade,0.004600099999999999
Iron Jugulis,0.0045036
Toxicroak,0.0044594
Aerodactyl,0.0044589
Deoxys-Defense,0.0044449
Golisopod,0.0044361
Orthworm,0.0044235
Ludicolo,0.0043795
Blastoise,0.0042598
Jolteon,0.0041734
Sharpedo,0.0040601
Zarude,0.004037799999999999
Obstagoon,0.003994
Frosmoth,0.0038565
Wo-Chien,0.0038562
Abomasnow,0.0038192
Typhlosion-Hisui,0.003739
Salazzle,0.0037337
Escavalier,0.0036708
Aerodactyl-Mega,0.0036027999999999998
Regidrago,0.0035631
Pyukumuku,0.0035494999999999997
Meloetta,0.0035265
Crobat,0.0034965
Dachsbun,0.0034283000000000004
Slowbro-Galar,0.0034264
Sceptile,0.0034187
Pincurchin,0.0034091
Mudsdale,0.0034049
Tauros,0.0033800999999999996
Vivillon,0.0033373
Regigigas,0.0033369
Registeel,0.0033287
Rhyperior,0.0032442
Regirock,0.0031532
Indeedee-F,0.0030505
Diancie,0.0030361
Feraligatr,0.0030177
Tornadus,0.0029979
Absol-Mega,0.0029837
Golduck,0.0029742
Avalugg-Hisui,0.0029615
Regice,0.0029562
Cetitan,0.0029295
Cofagrigus,0.0029162
Vikavolt,0.002916
Aggron,0.0029067
Donphan,0.0028994
Scream Tail,0.0027889000000000004
Blastoise-Mega,0.0027759
Torterra,0.0027735999999999998
Exploud,0.0027505000000000003
Munkidori,0.002748
Electrode-Hisui,0.0026996999999999998
Grafaiai,0.0026883000000000002
Sigilyph,0.0026426
Arceus-Grass,0.0025987
Banette-Mega,0.0025817
Gigalith,0.0025817
Zygarde-10%,0.0025124999999999995
Politoed,0.0025109999999999998
Steelix-Mega,0.0025058999999999997
Farigiraf,0.0025001
Jellicent,0.0024909
Druddigon,0.0024548
Doublade,0.0023914
Bruxish,0.0023721000000000003
Mienshao,0.0023644
Arceus-Psychic,0.0023622
Hitmonlee,0.0023549
Froslass,0.0023528
Scrafty,0.0023528
Noivern,0.0023318
Houndoom-Mega,0.0023096
Sandaconda,0.0023065
Scyther,0.0022736
Dusclops,0.0022716
Lapras,0.0022664
Linoone,0.0022467
Terrakion,0.0022394
Drifblim,0.0022214
Nidoqueen,0.0022126999999999997
Vaporeon,0.0021812999999999997
Scovillain,0.0021609
Vanilluxe,0.0021551
Decidueye,0.0021537
Bewear,0.002153
Cradily,0.0021453
Mr. Mime,0.002142
Pikachu,0.0021419
Cursola,0.00214
Vileplume,0.0021352
Kilowattrel,0.0021338999999999998
Rotom-Frost,0.0021324
Slurpuff,0.0021282000000000002
Dragalge,0.0021139
Sandslash-Alola,0.002081
Rapidash-Galar,0.0020739
Basculegion-F,0.0020683000000000003
Enamorus-Therian,0.0020361000000000003
Zacian,0.0020338
Sudowoodo,0.0020298
Centiskorch,0.0020023
Ambipom,0.0019873
Cinccino,0.0019797
Minior,0.0019775
Arctovish,0.0019725000000000003
Glastrier,0.0019514
Gothitelle,0.001894
Zoroark,0.0018844
Yanmega,0.0018465
Heracross,0.0018084
Typhlosion,0.0018035000000000002
Ariados,0.0017849
Houndstone,0.0017847
Iron Leaves,0.0017550999999999999
Steelix,0.0017424
Malamar,0.0017305
Raikou,0.0017236
Aurorus,0.0017209
Arboliva,0.0017174
Kingler,0.0017082
Pangoro,0.0017079
Mawile,0.0016711999999999999
Tyrantrum,0.0016514000000000001
Eelektross,0.0016153
Electivire,0.0015586
Avalugg,0.0015508
Swellow,0.0015444
Machamp,0.0015333
Drampa,0.0015304000000000001
Ampharos-Mega,0.0015193000000000001
Hoopa,0.0015133
Revavroom,0.0015133
Cobalion,0.0015033
Hariyama,0.001494
Tsareena,0.0014835
Braviary-Hisui,0.0014703
Masquerain,0.0014581
Leavanny,0.0014507
Brambleghast,0.0014210999999999998
Bellibolt,0.0014204
Girafarig,0.0014174
Audino,0.0014162
Golem-Alola,0.0014005
Pidgeot-Mega,0.0013897
Celebi,0.0013888
Carbink,0.0013705
Absol,0.0013455000000000001
Poliwrath,0.001342
Cottonee,0.0013381
Shaymin,0.0013361999999999998
Kabutops,0.0013062000000000002
Arceus-Dragon,0.0013046
Silvally,0.0012913
Arceus-Fighting,0.0012854
Sharpedo-Mega,0.0012741
Floatzel,0.0012611
Deoxys,0.0012525
Articuno-Galar,0.0012491
Brute Bonnet,0.001247
Dugtrio,0.0012417
Dudunsparce,0.0012136
Aron,0.0012094
Murkrow,0.0012086
Komala,0.0011731
Persian-Alola,0.0011591
Lurantis,0.0011558
Eiscue,0.0011466999999999998
Leafeon,0.0011439
Dusknoir,0.0011432
Lanturn,0.0011070000000000001
Dhelmise,0.0010815
Claydol,0.0010715
Accelgor,0.0010680000000000002
Florges,0.0010432
Drapion,0.0010276
Tangela,0.0010251000000000001
Trevenant,0.0010217
Crustle,0.0010073
Squawkabilly,0.0010068
Togedemaru,0.0010038
Spidops,0.0010033
Flamigo,0.001001
